Nome,Estacao,Clima,Horario,Localizacao,Preco_Base,Preco_Ouro,Preco_Iridio,Dificuldade,Comportamento,Xp_Pesca,Vara_Recomendada,Isca_Recomendada
Baiacu,Verão,Sol,12:00-16:00,Oceano,200,300,400,80,Flutuante,29,Vara_de_fibra_de_vidro,Isca_de_Luxo
Anchova,Primavera/Outono,Qualquer,Qualquer_Hora,Oceano,30,45,60,30,Dardo,13,Vara_de_bambu,Isca
Atum,Verão/Inverno,Qualquer,6:00-19:00,Oceano,100,150,200,70,Suave,26,Vara_de_fibra_de_vidro,Isca_de_Luxo
Sardinha,Primavera/Outono/Inverno,Qualquer,6:00-19:00,Oceano,40,60,80,30,Dardo,13,Vara_de_treinamento,Isca
Brema,Primavera/Verão/Outono/Inverno,Qualquer,18:00-2:00,Rio_Cidade/Rio_Floresta,45,67,90,35,Suave,14,Vara_de_treinamento,Isca
Achigã,Primavera/Verão/Outono/Inverno,Qualquer,6:00-19:00,Lago_Montanha,100,150,200,50,Misto,19,Vara_de_bambu,Isca_de_Luxo
Achigã_pequeno,Primavera/Outono,Qualquer,Qualquer_Hora,Rio_Cidade/Lago_Floresta,50,75,100,28,Misto,12,Vara_de_treinamento,Isca
Truta Arco_íris,Verão,Sol,6:00-19:00,Rio_Cidade/Rio_Floresta/Lago_Montanha,65,97,130,45,Misto,18,Vara_de_fibra_de_vidro,Isca_de_Luxo
Salmão,Outono,Qualquer,6:00-19:00,Rio_Cidade/Rio_Floresta,75,112,150,50,Misto,19,Vara_de_bambu,Isca_de_Luxo
Picão_verde,Outono/Inverno,Chuva,12:00-2:00,Rio_Cidade/Rio_Floresta/Lago_Floresta,105,157,210,45,Suave,18,Vara_de_treinamento,Isca
Perca,Inverno,Qualquer,Qualquer_Hora,Rio_Cidade/Rio_Floresta/Lago_Floresta/Lago_Montanha,55,82,110,35,Dardo,14,Vara_de_bambu,Isca_de_Luxo
Carpa,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Lago_Montanha/Lago_Bosque_Secreto/Esgoto,30,45,60,15,Misto,8,Vara_de_treinamento,Isca_Magica
Bagre,Primavera/Outono,Chuva,6:00-00:00,Rio_Cidade/Rio_Floresta/Lago_Bosque_Secreto/Pântano_da_bruxa,200,300,400,75,Misto,28,Vara_de_iridio,Isca_de_Luxo
Lúcio,Verão/Inverno,Qualquer,Qualquer_Hora,Rio_Cidade/Rio_Floresta/Lago_Floresta,100,150,200,60,Dardo,23,Vara_de_fibra_de_vidro,Isca_de_Luxo
Peixe_Sol,Primavera/Verão,Sol/Vento,6:00-19:00,Rio_Cidade/Rio_Floresta,30,45,60,30,Misto,13,Vara_de_treinamento,Isca
Salmonete,Verão/Inverno,Qualquer,6:00-19:00,Oceano,75,112,150,55,Suave,21,Vara_de_bambu,Isca_de_Luxo
Arenque,Primavera/Inverno,Qualquer,Qualquer_Hora,Oceano,30,45,60,25,Dardo,11,Vara_de_treinamento,Isca
Enguia,Primavera/Outono,Chuva,16:00-2:00,Oceano,85,127,170,70,Suave,26,Vara_de_iridio,Isca_de_Luxo
Polvo,Verão,Qualquer,6:00-13:00,Oceano,150,225,300,95,Pesado,34,Vara_de_iridio_avancada,Isca_de_Desafio
Cioba,Verão/Outono/Inverno,Chuva,6:00-19:00,Oceano,50,75,100,40,Misto,16,Vara_de_fibra_de_vidro,Isca_de_Luxo
Lula,Inverno,Qualquer,18:00-2:00,Oceano,80,120,160,75,Pesado,28,Vara_de_fibra_de_vidro,Isca_de_Luxo
Pepino_do_mar,Outono/Inverno,Qualquer,6:00-19:00,Oceano,75,112,150,40,Pesado,16,Vara_de_treinamento,Isca
Superpepino,Verão/Outono,Qualquer,18:00-2:00,Oceano/Ilha_Gengibre,250,375,500,80,Pesado,29,Vara_de_iridio,Isca_de_Luxo
