Nome,Estacao,Clima,Horario,Horario_Inicio,Horario_Fim,Localizacao,Preco_Base,Preco_Ouro,Preco_Iridio,Dificuldade,Comportamento,Xp_Pesca,Vara_Recomendada,Isca_Recomendada,Custo_Beneficio
Baiacu,Verão,Sol,12:00-16:00,12:00,16:00,Oceano,200,300.0,400.0,80.0,Flutuante,29.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.030483158055174518
Anchova,Primavera/Outono,Qualquer,00:00-26:00,00:00,26:00,Oceano,30,45.0,60.0,30.0,Dardo,13.0,Vara_de_bambu,Isca,0.031217481789802288
Atum,Verão/Inverno,Qualquer,6:00-19:00,6:00,19:00,Oceano,100,150.0,200.0,70.0,Suave,26.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.0198373338623289
Sardinha,Primavera/Outono/Inverno,Qualquer,6:00-19:00,6:00,19:00,Oceano,40,60.0,80.0,30.0,Dardo,13.0,Vara_de_treinamento,Isca,0.04162330905306972
Brema,Primavera/Verão/Outono/Inverno,Qualquer,18:00-2:00,18:00,2:00,Rio_Cidade/Rio_Floresta,45,67.0,90.0,35.0,Suave,14.0,Vara_de_treinamento,Isca,0.034722222222222224
Achigã,Primavera/Verão/Outono/Inverno,Qualquer,6:00-19:00,6:00,19:00,Lago_Montanha,100,150.0,200.0,50.0,Misto,19.0,Vara_de_bambu,Isca_de_Luxo,0.03844675124951941
Achigã_pequeno,Primavera/Outono,Qualquer,00:00-26:00,00:00,26:00,Rio_Cidade/Lago_Floresta,50,75.0,100.0,28.0,Misto,12.0,Vara_de_treinamento,Isca,0.059453032104637336
Truta Arco_íris,Verão,Sol,6:00-19:00,6:00,19:00,Rio_Cidade/Rio_Floresta/Lago_Montanha,65,97.0,130.0,45.0,Misto,18.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.030718336483931945
Salmão,Outono,Qualquer,6:00-19:00,6:00,19:00,Rio_Cidade/Rio_Floresta,75,112.0,150.0,50.0,Misto,19.0,Vara_de_bambu,Isca_de_Luxo,0.02883506343713956
Picão_verde,Outono/Inverno,Chuva,12:00-2:00,12:00,2:00,Rio_Cidade/Rio_Floresta/Lago_Floresta,105,157.0,210.0,45.0,Suave,18.0,Vara_de_treinamento,Isca,0.04962192816635161
Perca,Inverno,Qualquer,00:00-26:00,00:00,26:00,Rio_Cidade/Rio_Floresta/Lago_Floresta/Lago_Montanha,55,82.0,110.0,35.0,Dardo,14.0,Vara_de_bambu,Isca_de_Luxo,0.04243827160493827
Carpa,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Lago_Montanha/Lago_Bosque_Secreto/Esgoto,30,45.0,60.0,15.0,Misto,8.0,Vara_de_treinamento,Isca_Magica,0.1171875
Bagre,Primavera/Outono,Chuva,6:00-00:00,6:00,00:00,Rio_Cidade/Rio_Floresta/Lago_Bosque_Secreto/Pântano_da_bruxa,200,300.0,400.0,75.0,Misto,28.0,Vara_de_iridio,Isca_de_Luxo,0.03462603878116344
Lúcio,Verão/Inverno,Qualquer,00:00-26:00,00:00,26:00,Rio_Cidade/Rio_Floresta/Lago_Floresta,100,150.0,200.0,60.0,Dardo,23.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.026874496103198066
Peixe_Sol,Primavera/Verão,Sol/Vento,6:00-19:00,6:00,19:00,Rio_Cidade/Rio_Floresta,30,45.0,60.0,30.0,Misto,13.0,Vara_de_treinamento,Isca,0.031217481789802288
Salmonete,Verão/Inverno,Qualquer,6:00-19:00,6:00,19:00,Oceano,75,112.0,150.0,55.0,Suave,21.0,Vara_de_bambu,Isca_de_Luxo,0.02391581632653061
Arenque,Primavera/Inverno,Qualquer,00:00-26:00,00:00,26:00,Oceano,30,45.0,60.0,25.0,Dardo,11.0,Vara_de_treinamento,Isca,0.04437869822485207
Enguia,Primavera/Outono,Chuva,16:00-2:00,16:00,2:00,Oceano,85,127.0,170.0,70.0,Suave,26.0,Vara_de_iridio,Isca_de_Luxo,0.016861733782979567
Polvo,Verão,Qualquer,6:00-13:00,6:00,13:00,Oceano,150,225.0,300.0,95.0,Pesado,34.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.016276041666666668
Cioba,Verão/Outono/Inverno,Chuva,6:00-19:00,6:00,19:00,Oceano,50,75.0,100.0,40.0,Misto,16.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.0297441998810232
Lula,Inverno,Qualquer,18:00-2:00,18:00,2:00,Oceano,80,120.0,160.0,75.0,Pesado,28.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.013850415512465374
Pepino_do_mar,Outono/Inverno,Qualquer,6:00-19:00,6:00,19:00,Oceano,75,112.0,150.0,40.0,Pesado,16.0,Vara_de_treinamento,Isca,0.044616299821534804
Superpepino,Verão/Outono,Qualquer,18:00-2:00,18:00,2:00,Oceano/Ilha_Gengibre,250,375.0,500.0,80.0,Pesado,29.0,Vara_de_iridio,Isca_de_Luxo,0.03810394756896814
Peixe_Fantasma,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Minas,45,67.0,90.0,50.0,Misto,19.0,Vara_de_treinamento,Isca,0.01730103806228374
Peixe_Pedra,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Minas,300,450.0,600.0,65.0,Pesado,24.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.06887052341597796
Chione,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Minas,500,750.0,1000.0,85.0,Dardo,31.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.06760411032990805
Enguia_de_Lava,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Minas,700,1050.0,1400.0,90.0,Misto,33.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.08453085376162299
Areinha,Primavera/Verão/Outono/Inverno,Qualquer,6:00-20:00,6:00,20:00,Deserto,75,112.0,150.0,65.0,Misto,24.0,Vara_de_bambu,Isca,0.01721763085399449
Carpa Escorpiônica,Primavera/Verão/Outono/Inverno,Qualquer,6:00-20:00,6:00,20:00,Deserto,150,225.0,300.0,90.0,Dardo,33.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.018113754377490642
Linguado,Primavera/Verão,Qualquer,6:00-20:00,6:00,20:00,Oceano/Ilha_Gengibre,100,150.0,200.0,50.0,Pesado,19.0,Vara_de_treinamento,Isca,0.03844675124951941
Carpa_da_Meia_Noite,Outono/Inverno,Qualquer,22:00-2:00,22:00,2:00,Lago_Floresta/Lago_Montanha/Ilha_Gengibre,150,225.0,300.0,55.0,Misto,21.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.04783163265306122
Esturjão,Verão/Inverno,Qualquer,6:00-19:00,6:00,19:00,Lago_Montanha,200,300.0,400.0,78.0,Misto,29.0,Vara_de_iridio,Isca_de_Luxo,0.03204614645088928
Salmão_Híbrido,Outono/Inverno,Qualquer,6:00-19:00,6:00,19:00,Rio_Cidade/Rio_Floresta,150,225.0,300.0,60.0,Dardo,23.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.040311744154797095
Peixe_gato_cabeçudo,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Lago_Montanha,75,112.0,150.0,46.0,Suave,18.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.033952014486192846
Tilápia,Verão/Outono,Qualquer,6:00-14:00,6:00,14:00,Oceano/Ilha_Gengibre,75,112.0,150.0,50.0,Misto,19.0,Vara_de_treinamento,Isca,0.02883506343713956
Esquálio,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Rio_Floresta/Lago_Montanha,50,75.0,100.0,35.0,Dardo,14.0,Vara_de_bambu,Isca,0.038580246913580245
Dourado,Verão,Qualquer,6:00-19:00,6:00,19:00,Rio_Floresta,100,150.0,200.0,78.0,Misto,29.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.01602307322544464
Albacora,Outono/Inverno,Qualquer,6:00-11:00,6:00,11:00,Oceano,75,112.0,150.0,60.0,Misto,23.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.020155872077398548
Alocine,Primavera/Verão/Outono,Chuva,9:00-2:00,9:00,2:00,Rio_Cidade/Rio_Floresta,60,90.0,120.0,45.0,Suave,18.0,Vara_de_bambu,Isca,0.02835538752362949
Ófis,Inverno,Qualquer,00:00-26:00,00:00,26:00,Rio_Cidade/Rio_Floresta/Lago_Montanha,120,180.0,240.0,85.0,Misto,31.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.016224986479177934
Halibute,Primavera/Verão/Inverno,Qualquer,6:00-11:00,6:00,11:00,Oceano/Lago_Montanha,80,120.0,160.0,50.0,Pesado,19.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.030757400999615533
Madeirão,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Lago_Bosque_Secreto,75,112.0,150.0,50.0,Misto,19.0,Vara_de_bambu,Isca,0.02883506343713956
Salmão_Nulo,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Pântano_da_bruxa,150,225.0,300.0,80.0,Misto,29.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.022862368541380886
Salmão_Mutante,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Covil_Insetos_Mutantes,100,150.0,200.0,55.0,Dardo,21.0,Vara_de_iridio,Isca_de_Desafio,0.03188775510204082
Peixe_leão,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Ilha_Gengibre,100,150.0,200.0,50.0,Suave,19.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.03844675124951941
Acará_disco_Azul,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Ilha_Gengibre,120,180.0,240.0,60.0,Dardo,23.0,Vara_de_bambu,Isca,0.03224939532383768
Gobi,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Lago_Floresta,150,225.0,300.0,55.0,Dardo,21.0,Vara_de_fibra_de_vidro,Isca_de_Luxo,0.04783163265306122
Arraia,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Ilha_Gengibre,180,270.0,360.0,80.0,Pesado,29.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.027434842249657063
Lula_da_Meia_noite,Inverno,Submerso ,17:00-2:00,17:00,2:00,Mercado_Noturno,100,150.0,200.0,55.0,Pesado,21.0,Vara_de_iridio,Isca_de_Luxo,0.03188775510204082
Peixe_Assustador,Inverno,Submerso ,17:00-2:00,17:00,2:00,Mercado_Noturno,220,330.0,440.0,60.0,Dardo,23.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.059123891427035745
Peixe_bolha,Inverno,Submerso ,17:00-2:00,17:00,2:00,mercado_Noturno,500,750.0,1000.0,75.0,Flutuador,28.0,Vara_de_iridio,Isca_de_Luxo,0.0865650969529086
Peixe_Carmim,Verão,Qualquer,00:00-26:00,00:00,26:00,Oceano,1500,2250.0,3000.0,95.0,Misto,170.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.16276041666666666
Tamboril,Outono,Qualquer,00:00-26:00,00:00,26:00,Rio_Cidade,900,1350.0,1800.0,85.0,Suave,155.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.12168739859383451
Lenda,Primavera,Chuva,00:00-26:00,00:00,26:00,Lago_Montanha,5000,7500.0,10000.0,110.0,Misto,195.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.40581121662202746
Peixe_Gelo,Inverno,Qualquer,00:00-26:00,00:00,26:00,Lago_Floresta,1000,1500.0,2000.0,100.0,Misto,180.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.09802960494069209
Carpa_Mutante,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Esgoto,1000,1500.0,2000.0,80.0,Dardo,145.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.15241579027587257
Filho_do_Peixe_Carmim,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Oceano,1500,2250.0,3000.0,95.0,Misto,170.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.16276041666666666
Srta_Tamboril,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Rio_Cidade,900,1350.0,1800.0,85.0,Suave,155.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.12168739859383451
Lenda_II,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Lago_Montanha,5000,7500.0,10000.0,110.0,Misto,170.0,Vara_de_iridio_avancada,Isca_de_Luxo,0.40581121662202746
Peixe_Gelo_Jr,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Lago_Floresta,1000,1500.0,2000.0,100.0,Misto,180.0,Vara_de_iridio,Isca_de_Desafio,0.09802960494069209
Carpa_Radioativa,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Esgoto,1000,1500.0,2000.0,80.0,Dardo,145.0,Vara_de_iridio_avancada,Isca_de_Desafio,0.15241579027587257
Lagosta,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Oceano,120,120.0,120.0,10.0,Covo,0.0,covo,Isca_de_Luxo,0.9917355371900827
Concha,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Oceano,50,75.0,100.0,10.0,Covo,0.0,covo,Isca_de_Luxo,0.4132231404958678
Caranguejo,Primavera/Verão/Outono/Inverno,Qualquer,00:00-26:00,00:00,26:00,Oceano,100,100.0,100.0,10.0,Covo,0.0,covo,Isca_de_Luxo,0.8264462809917356
